model_id,canonical_family_id,domain,cue_type,canonical_answer,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,monitor_site,entropy_score,source_experiment_ids,primary_monitor_score_null_reason,monitor_layer_null_reason,monitor_site_null_reason,entropy_score_null_reason
qwen2p5_7b_instruct,CM_B_UM_008,mechanics,nongoverning_distractor,19.6 N,0.0,0,0.5371565625743772,18,resid_post_last_prompt,0.9438828936855396,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_009,mechanics,nongoverning_distractor,11 m/s,4.375,1,0.3094575718928163,18,resid_post_last_prompt,2.598205416574823,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_010,mechanics,nongoverning_distractor,8 m/s,1.25,1,0.9292410142521325,18,resid_post_last_prompt,0.47975365993262625,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_011,mechanics,nongoverning_distractor,14.7 m/s,0.0,0,0.6135875024288852,18,resid_post_last_prompt,0.31722502087191595,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_012,mechanics,nongoverning_distractor,12 m/s,2.75,1,0.649331520855139,18,resid_post_last_prompt,1.60460362944161,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_013,mechanics,nongoverning_distractor,3.1416 m/s,3.453125,1,0.9264537215829132,18,resid_post_last_prompt,1.5969063414243334,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_014,mechanics,nongoverning_distractor,9 m/s,1.84375,1,0.4001297306602087,18,resid_post_last_prompt,1.1753788763329411,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_015,electrostatics_circuits,nongoverning_distractor,3.0 A,0.578125,1,0.12512094411219662,18,resid_post_last_prompt,0.22507594204512396,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_016,electrostatics_circuits,nongoverning_distractor,5.0 A,1.1640625,1,0.5512981573896116,18,resid_post_last_prompt,0.5070720262397856,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_017,electrostatics_circuits,nongoverning_distractor,3.0 A,0.0,0,0.1788561323144902,18,resid_post_last_prompt,0.32893779539935436,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_018,electrostatics_circuits,nongoverning_distractor,3.0 A,0.0,0,0.965523220021331,18,resid_post_last_prompt,0.7062511882940777,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_019,electrostatics_circuits,nongoverning_distractor,2.0 A,0.0,0,0.1416075121284637,18,resid_post_last_prompt,1.1508265966116484,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_020,electrostatics_circuits,nongoverning_distractor,6.0 A,0.34375,0,0.03194370384573245,18,resid_post_last_prompt,0.2548360379734389,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_021,electrostatics_circuits,nongoverning_distractor,12.0 V,0.0,0,0.45694526697388604,18,resid_post_last_prompt,2.57360517630728,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_022,electrostatics_circuits,nongoverning_distractor,6.0 V,2.078125,1,0.4086329938473545,18,resid_post_last_prompt,0.7452112540967305,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_023,electrostatics_circuits,nongoverning_distractor,8.0 V,0.0,0,0.32986265218677524,18,resid_post_last_prompt,0.7816405273925476,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
qwen2p5_7b_instruct,CM_B_UM_024,electrostatics_circuits,nongoverning_distractor,6.0 V,0.53125,1,0.5406634092028403,18,resid_post_last_prompt,0.7192062919842175,stage6_qwen_behavioural_full_rerun;stage9_mean_probe_stage6;stage9_entropy_baseline,,,,
