model_id,canonical_family_id,domain,cue_type,S_lp,S_lp_binary,primary_monitor_score,monitor_layer,causal_site,intervention_effect,source_experiment_ids,S_lp_null_reason,monitor_null_reason,causal_null_reason
qwen_primary,CM_B_UM_038,electrostatics_circuits,nongoverning_distractor,1.8125,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_039,electrostatics_circuits,nongoverning_distractor,0.375,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_040,electrostatics_circuits,nongoverning_distractor,0.75,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_041,mechanics,nongoverning_distractor,0.203125,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_042,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_043,mechanics,nongoverning_distractor,1.71875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_044,mechanics,nongoverning_distractor,0.140625,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_045,mechanics,nongoverning_distractor,1.65625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_046,mechanics,nongoverning_distractor,0.390625,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_047,mechanics,nongoverning_distractor,2.0,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_048,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_049,mechanics,nongoverning_distractor,1.90625,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_050,mechanics,nongoverning_distractor,2.09375,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_051,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_052,mechanics,nongoverning_distractor,4.921875,1,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
qwen_primary,CM_B_UM_053,mechanics,nongoverning_distractor,0.0,0,,,,,stage6_qwen_behavioural_full_rerun,,not_measured,not_measured
