template_id,domain,cue_type,governing_law,stage6_class,qwen_hat_S_raw,qwen_hat_S,llama_hat_S_raw,llama_hat_S,qwen_parse_ok,llama_parse_ok,both_sensitive,notes,qwen_S_lp,llama_S_lp
CM_B_UM_014,mechanics,nongoverning_distractor,projectile_horizontal_velocity,velocity_velocity,0.0,0.0,0.0,0.0,True,True,False,,1.84375,0.140625
CM_B_UM_015,electrostatics_circuits,nongoverning_distractor,ohms_law_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.578125,0.21875
CM_B_UM_016,electrostatics_circuits,nongoverning_distractor,power_voltage_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,1.1640625,0.125
CM_B_UM_017,electrostatics_circuits,nongoverning_distractor,series_circuit_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.390625
CM_B_UM_018,electrostatics_circuits,nongoverning_distractor,single_branch_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.734375
CM_B_UM_019,electrostatics_circuits,nongoverning_distractor,battery_external_current,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.0
CM_B_UM_020,electrostatics_circuits,nongoverning_distractor,kirchhoff_current_split,current_current,0.0,0.0,0.0,0.0,True,True,False,,0.34375,0.0
CM_B_UM_021,electrostatics_circuits,nongoverning_distractor,ohms_law_voltage,voltage_voltage,0.0,0.0,0.0,0.0,True,True,False,,0.0,0.03125
CM_B_UM_022,electrostatics_circuits,nongoverning_distractor,power_current_voltage,voltage_voltage,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,2.078125,0.0
CM_B_UM_023,electrostatics_circuits,nongoverning_distractor,series_voltage_drop,voltage_voltage,0.0,0.0,0.5,0.5,True,True,False,,0.0,0.0
CM_B_UM_024,electrostatics_circuits,nongoverning_distractor,capacitor_voltage,voltage_voltage,0.8333333333333334,0.8333333333333334,0.0,0.0,True,True,False,,0.53125,0.0
