expected_run_id,source,stage,experiment_family,model_id,configuration_identity,panel_identity,job_id_if_known,result_directory,raw_artifacts,summary_artifacts,logs,config,confidence,registry_experiment_id,mapping_status
results_stage10_llama_head_selection_sweep_layer_19_head_12_patching_summary,summary_or_raw_artifact,stage10,head_12,llama,patching_summary,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_12,,results/stage10/llama_head_selection_sweep/layer_19/head_12/patching_summary.json,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_12_run_causal_patching_events,summary_or_raw_artifact,stage10,head_12,llama,run_causal_patching_events,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_12,results/stage10/llama_head_selection_sweep/layer_19/head_12/run_causal_patching_events.jsonl,,results/stage10/llama_head_selection_sweep/layer_19/head_12/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_14_patching_results,summary_or_raw_artifact,stage10,head_14,llama,patching_results,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_14,results/stage10/llama_head_selection_sweep/layer_19/head_14/patching_results.csv,,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_14_patching_summary,summary_or_raw_artifact,stage10,head_14,llama,patching_summary,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_14,,results/stage10/llama_head_selection_sweep/layer_19/head_14/patching_summary.json,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_14_run_causal_patching_events,summary_or_raw_artifact,stage10,head_14,llama,run_causal_patching_events,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_14,results/stage10/llama_head_selection_sweep/layer_19/head_14/run_causal_patching_events.jsonl,,results/stage10/llama_head_selection_sweep/layer_19/head_14/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_26_patching_results,summary_or_raw_artifact,stage10,head_26,llama,patching_results,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_26,results/stage10/llama_head_selection_sweep/layer_19/head_26/patching_results.csv,,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_26_patching_summary,summary_or_raw_artifact,stage10,head_26,llama,patching_summary,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_26,,results/stage10/llama_head_selection_sweep/layer_19/head_26/patching_summary.json,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_19_head_26_run_causal_patching_events,summary_or_raw_artifact,stage10,head_26,llama,run_causal_patching_events,unresolved,,results/stage10/llama_head_selection_sweep/layer_19/head_26,results/stage10/llama_head_selection_sweep/layer_19/head_26/run_causal_patching_events.jsonl,,results/stage10/llama_head_selection_sweep/layer_19/head_26/run_causal_patching_events.jsonl,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_20_head_18_patching_results,summary_or_raw_artifact,stage10,head_18,llama,patching_results,unresolved,,results/stage10/llama_head_selection_sweep/layer_20/head_18,results/stage10/llama_head_selection_sweep/layer_20/head_18/patching_results.csv,,,,medium,,unmatched
results_stage10_llama_head_selection_sweep_layer_20_head_18_patching_summary,summary_or_raw_artifact,stage10,head_18,llama,patching_summary,unresolved,,results/stage10/llama_head_selection_sweep/layer_20/head_18,,results/stage10/llama_head_selection_sweep/layer_20/head_18/patching_summary.json,,,medium,,unmatched
